School Name,Region,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
California Institute of Technology (CIT),California,Engineering,"$75,500.00","$123,000.00",,"$104,000.00","$161,000.00",
Harvey Mudd College,California,Engineering,"$71,800.00","$122,000.00",,"$96,000.00","$180,000.00",
"University of California, Berkeley",California,State,"$59,900.00","$112,000.00","$59,500.00","$81,000.00","$149,000.00","$201,000.00"
Occidental College,California,Liberal Arts,"$51,900.00","$105,000.00",,"$54,800.00","$157,000.00",
Cal Poly San Luis Obispo,California,State,"$57,200.00","$101,000.00","$55,000.00","$74,700.00","$133,000.00","$178,000.00"
University of California at Los Angeles (UCLA),California,State,"$52,600.00","$101,000.00","$51,300.00","$72,500.00","$139,000.00","$193,000.00"
"University of California, San Diego (UCSD)",California,State,"$51,100.00","$101,000.00","$51,700.00","$75,400.00","$131,000.00","$177,000.00"
Pomona College,California,Liberal Arts,"$48,600.00","$101,000.00",,"$63,300.00","$161,000.00",
"University of California, Davis",California,State,"$52,300.00","$99,600.00","$52,000.00","$71,600.00","$135,000.00","$202,000.00"
"University of California, Irvine (UCI)",California,State,"$48,300.00","$96,700.00","$47,800.00","$66,000.00","$123,000.00","$172,000.00"
San Jose State University (SJSU),California,State,"$53,500.00","$95,600.00","$50,700.00","$70,500.00","$122,000.00","$156,000.00"
"University of California, Santa Barbara (UCSB)",California,Party,"$50,500.00","$95,000.00","$51,300.00","$71,200.00","$129,000.00","$173,000.00"
"University of California, Santa Barbara (UCSB)",California,State,"$50,500.00","$95,000.00","$51,300.00","$71,200.00","$129,000.00","$173,000.00"
"California State University (CSU), Chico",California,State,"$47,400.00","$88,100.00","$46,800.00","$62,800.00","$122,000.00","$154,000.00"
"California State University, Fullerton (CSUF)",California,State,"$45,700.00","$87,000.00","$45,400.00","$62,500.00","$119,000.00","$158,000.00"
San Francisco State University (SFSU),California,State,"$47,300.00","$86,400.00","$45,100.00","$62,700.00","$114,000.00","$150,000.00"
San Diego State University (SDSU),California,State,"$46,200.00","$85,200.00","$45,500.00","$61,800.00","$116,000.00","$158,000.00"
"California State University, Long Beach (CSULB)",California,State,"$45,100.00","$84,700.00","$47,400.00","$62,500.00","$113,000.00","$154,000.00"
"California State University, East Bay (CSUEB)",California,State,"$49,200.00","$84,300.00","$46,000.00","$62,400.00","$115,000.00","$155,000.00"
"University of California, Santa Cruz (UCSC)",California,State,"$44,700.00","$84,100.00","$46,100.00","$62,000.00","$121,000.00","$165,000.00"
"California State University, Sacramento (CSUS)",California,State,"$47,800.00","$82,400.00","$42,900.00","$59,600.00","$111,000.00","$154,000.00"
"University of California, Riverside (UCR)",California,State,"$46,800.00","$81,300.00","$37,200.00","$59,900.00","$109,000.00","$134,000.00"
"California State University, Northridge (CSUN)",California,State,"$45,500.00","$80,400.00","$44,500.00","$57,800.00","$108,000.00","$153,000.00"
"California State University, Dominguez Hills (CSUDH)",California,State,"$42,700.00","$72,100.00","$30,800.00","$47,000.00","$92,200.00","$132,000.00"
Humboldt State University,California,State,"$42,600.00","$71,300.00","$36,000.00","$56,300.00","$94,400.00","$117,000.00"
Thomas Aquinas College,California,Liberal Arts,"$41,500.00","$67,500.00",,"$44,600.00","$93,100.00",
Colorado School of Mines,Western,Engineering,"$58,100.00","$106,000.00","$62,200.00","$87,900.00","$142,000.00","$201,000.00"
University of Colorado - Boulder (UCB),Western,State,"$47,100.00","$97,600.00","$51,600.00","$69,000.00","$128,000.00","$187,000.00"
New Mexico Institute of Mining and Technology (New Mexico Tech),Western,Engineering,"$51,000.00","$93,400.00",,"$67,400.00","$123,000.00",
University of Arizona,Western,State,"$47,500.00","$86,100.00","$44,800.00","$61,700.00","$117,000.00","$160,000.00"
University of Washington (UW),Western,State,"$48,800.00","$85,300.00","$47,000.00","$59,800.00","$115,000.00","$149,000.00"
Washington State University (WSU),Western,State,"$45,300.00","$84,700.00","$43,600.00","$59,000.00","$113,000.00","$162,000.00"
University of Colorado - Denver,Western,State,"$46,100.00","$84,400.00","$46,400.00","$58,600.00","$105,000.00","$144,000.00"
Arizona State University (ASU),Western,Party,"$47,400.00","$84,100.00","$44,600.00","$60,700.00","$114,000.00","$163,000.00"
Arizona State University (ASU),Western,State,"$47,400.00","$84,100.00","$44,600.00","$60,700.00","$114,000.00","$163,000.00"
Oregon State University (OSU),Western,State,"$45,100.00","$83,300.00","$46,900.00","$64,000.00","$113,000.00","$146,000.00"
University of Utah,Western,State,"$45,400.00","$83,200.00","$43,000.00","$58,400.00","$116,000.00","$148,000.00"
"University of Nevada, Reno (UNR)",Western,State,"$46,500.00","$82,900.00","$41,900.00","$54,600.00","$113,000.00","$143,000.00"
University of Idaho,Western,State,"$44,900.00","$82,000.00","$43,000.00","$56,700.00","$104,000.00","$142,000.00"
University of New Mexico (UNM),Western,State,"$41,600.00","$81,600.00","$41,800.00","$59,100.00","$105,000.00","$141,000.00"
University of Puget Sound,Western,Liberal Arts,"$46,600.00","$81,500.00","$48,900.00","$60,100.00","$104,000.00","$137,000.00"
Colorado College (CC),Western,Liberal Arts,"$38,500.00","$81,400.00",,"$43,000.00","$148,000.00",
Reed College,Western,Liberal Arts,"$40,500.00","$81,100.00",,"$67,400.00","$101,000.00",
Whitman College,Western,Liberal Arts,"$43,500.00","$80,100.00",,"$64,800.00","$111,000.00",
New Mexico State University,Western,State,"$44,300.00","$79,500.00","$37,400.00","$53,800.00","$102,000.00","$131,000.00"
Colorado State University (CSU),Western,State,"$44,800.00","$79,000.00","$43,800.00","$57,100.00","$112,000.00","$150,000.00"
University of Wyoming (UW),Western,State,"$44,500.00","$78,700.00","$41,500.00","$54,000.00","$105,000.00","$145,000.00"
Utah State University,Western,State,"$43,800.00","$78,700.00","$41,600.00","$55,400.00","$101,000.00","$132,000.00"
University of Oregon,Western,State,"$42,200.00","$78,400.00","$38,100.00","$56,200.00","$117,000.00","$186,000.00"
Montana State University - Bozeman,Western,State,"$46,600.00","$77,500.00","$40,200.00","$58,100.00","$111,000.00","$151,000.00"
University of Hawaii,Western,State,"$43,800.00","$76,000.00","$40,400.00","$56,300.00","$104,000.00","$128,000.00"
Western Washington University,Western,State,"$42,700.00","$75,400.00","$41,300.00","$56,700.00","$99,200.00","$119,000.00"
Idaho State University,Western,State,"$44,900.00","$73,400.00","$35,400.00","$49,600.00","$101,000.00","$143,000.00"
"University of Alaska, Anchorage",Western,State,"$45,900.00","$72,600.00","$39,800.00","$56,600.00","$99,300.00","$137,000.00"
Lewis & Clark College,Western,Liberal Arts,"$38,900.00","$72,600.00","$38,200.00","$53,400.00","$104,000.00","$140,000.00"
University of Montana,Western,State,"$37,300.00","$71,900.00","$37,000.00","$51,500.00","$96,400.00","$138,000.00"
"University of Nevada, Las Vegas (UNLV)",Western,State,"$45,200.00","$71,600.00","$39,000.00","$52,400.00","$100,000.00","$128,000.00"
Portland State University (PSU),Western,State,"$42,600.00","$70,900.00","$40,700.00","$52,300.00","$94,400.00","$123,000.00"
Eastern Washington University,Western,State,"$38,600.00","$70,900.00","$36,000.00","$50,500.00","$93,100.00","$117,000.00"
Fort Lewis College,Western,Liberal Arts,"$42,000.00","$69,800.00",,"$55,000.00","$94,000.00",
Boise State University (BSU),Western,State,"$40,800.00","$69,500.00","$37,400.00","$48,700.00","$87,500.00","$110,000.00"
Evergreen State College,Western,Liberal Arts,"$39,500.00","$63,900.00","$38,800.00","$47,200.00","$91,600.00","$120,000.00"
Carleton College,Midwestern,Liberal Arts,"$47,500.00","$103,000.00",,"$69,400.00","$141,000.00",
Illinois Institute of Technology (IIT),Midwestern,Engineering,"$56,000.00","$97,800.00","$56,100.00","$77,400.00","$121,000.00","$165,000.00"
University of Illinois at Urbana-Champaign (UIUC),Midwestern,Party,"$52,900.00","$96,100.00","$48,200.00","$68,900.00","$132,000.00","$177,000.00"
University of Illinois at Urbana-Champaign (UIUC),Midwestern,State,"$52,900.00","$96,100.00","$48,200.00","$68,900.00","$132,000.00","$177,000.00"
University of Missouri - Rolla (UMR),Midwestern,State,"$57,100.00","$95,800.00","$67,600.00","$80,400.00","$122,000.00","$166,000.00"
South Dakota School of Mines & Technology,Midwestern,Engineering,"$55,800.00","$93,400.00","$71,500.00","$81,900.00","$122,000.00","$147,000.00"
University of Michigan,Midwestern,State,"$52,700.00","$93,000.00","$50,900.00","$69,400.00","$128,000.00","$182,000.00"
Purdue University,Midwestern,State,"$51,400.00","$90,500.00","$49,900.00","$67,400.00","$121,000.00","$168,000.00"
University of Wisconsin (UW) - Madison,Midwestern,State,"$48,900.00","$87,800.00","$47,400.00","$62,400.00","$118,000.00","$170,000.00"
St. Olaf College,Midwestern,Liberal Arts,"$45,300.00","$86,200.00","$41,300.00","$61,000.00","$120,000.00","$185,000.00"
Michigan State University (MSU),Midwestern,State,"$46,300.00","$85,300.00","$44,200.00","$61,500.00","$119,000.00","$170,000.00"
Iowa State University,Midwestern,State,"$45,400.00","$84,600.00","$44,400.00","$60,000.00","$109,000.00","$147,000.00"
University of Minnesota,Midwestern,State,"$46,200.00","$84,200.00","$49,000.00","$63,200.00","$112,000.00","$148,000.00"
"Indiana University (IU), Bloomington",Midwestern,Party,"$46,300.00","$84,000.00","$43,600.00","$60,400.00","$119,000.00","$178,000.00"
"Indiana University (IU), Bloomington",Midwestern,State,"$46,300.00","$84,000.00","$43,600.00","$60,400.00","$119,000.00","$178,000.00"
University of Iowa (UI),Midwestern,Party,"$44,700.00","$83,900.00","$43,300.00","$61,100.00","$116,000.00","$163,000.00"
University of Iowa (UI),Midwestern,State,"$44,700.00","$83,900.00","$43,300.00","$61,100.00","$116,000.00","$163,000.00"
Ohio State University (OSU),Midwestern,State,"$44,900.00","$83,700.00","$45,500.00","$60,700.00","$116,000.00","$162,000.00"
Denison University,Midwestern,Liberal Arts,"$42,000.00","$83,500.00",,"$62,100.00","$122,000.00",
University of Illinois at Chicago,Midwestern,State,"$47,500.00","$81,700.00","$44,700.00","$58,800.00","$110,000.00","$146,000.00"
Oberlin College,Midwestern,Liberal Arts,"$43,400.00","$81,600.00",,"$46,400.00","$128,000.00",
University of Kansas,Midwestern,State,"$42,400.00","$81,600.00","$44,800.00","$57,200.00","$115,000.00","$156,000.00"
University of Missouri - Columbia,Midwestern,State,"$41,700.00","$81,000.00","$43,500.00","$57,100.00","$111,000.00","$156,000.00"
University of Nebraska,Midwestern,State,"$45,700.00","$80,900.00","$42,200.00","$56,600.00","$113,000.00","$156,000.00"
Northern Illinois University (NIU),Midwestern,State,"$43,600.00","$80,800.00","$43,900.00","$60,200.00","$111,000.00","$161,000.00"
Gustavus Adolphus College,Midwestern,Liberal Arts,"$44,500.00","$80,600.00",,"$49,300.00","$101,000.00",
University of North Dakota,Midwestern,State,"$44,000.00","$80,600.00","$43,400.00","$56,400.00","$111,000.00","$157,000.00"
Kansas State University (KSU),Midwestern,State,"$43,300.00","$79,000.00","$37,200.00","$54,100.00","$106,000.00","$138,000.00"
University of Wisconsin (UW) - Platteville,Midwestern,State,"$45,800.00","$78,500.00","$48,400.00","$61,200.00","$100,000.00","$139,000.00"
Wittenberg University,Midwestern,Liberal Arts,"$39,200.00","$78,200.00",,"$54,100.00","$131,000.00",
North Dakota State University (NDSU),Midwestern,State,"$45,100.00","$77,800.00","$39,000.00","$55,800.00","$100,000.00","$123,000.00"
Grinnell College,Midwestern,Liberal Arts,"$42,600.00","$76,600.00",,"$65,100.00","$116,000.00",
Wayne State University,Midwestern,State,"$42,800.00","$76,100.00","$40,100.00","$56,200.00","$101,000.00","$139,000.00"
University of Toledo,Midwestern,State,"$43,100.00","$75,900.00","$40,100.00","$54,100.00","$100,000.00","$133,000.00"
University of Wisconsin (UW) - Whitewater,Midwestern,State,"$40,800.00","$75,500.00","$38,200.00","$53,500.00","$99,300.00","$150,000.00"
Minnesota State University - Mankato,Midwestern,State,"$43,300.00","$74,700.00","$39,500.00","$53,800.00","$95,700.00","$140,000.00"
University of Wisconsin (UW) - Milwaukee,Midwestern,State,"$42,300.00","$74,600.00","$40,600.00","$54,000.00","$93,700.00","$123,000.00"
Western Michigan University (WMU),Midwestern,State,"$42,300.00","$73,800.00","$40,100.00","$52,500.00","$103,000.00","$135,000.00"
South Dakota State University (SDSU),Midwestern,State,"$41,100.00","$73,500.00","$34,100.00","$49,900.00","$99,400.00","$129,000.00"
Ohio University,Midwestern,Party,"$42,200.00","$73,400.00","$36,600.00","$52,800.00","$106,000.00","$150,000.00"
Ohio University,Midwestern,State,"$42,200.00","$73,400.00","$36,600.00","$52,800.00","$106,000.00","$150,000.00"
Illinois State University,Midwestern,State,"$42,000.00","$73,400.00","$39,100.00","$55,200.00","$105,000.00","$142,000.00"
Cleveland State University,Midwestern,State,"$43,500.00","$73,100.00","$39,500.00","$51,600.00","$97,000.00","$137,000.00"
University of Nebraska at Omaha,Midwestern,State,"$41,500.00","$72,600.00","$39,500.00","$54,400.00","$97,400.00","$126,000.00"
Southern Illinois University Carbondale,Midwestern,State,"$43,000.00","$72,500.00","$38,300.00","$51,300.00","$99,300.00","$139,000.00"
Eastern Michigan University,Midwestern,State,"$40,300.00","$72,100.00","$37,900.00","$52,800.00","$95,400.00","$135,000.00"
Bowling Green State University,Midwestern,State,"$39,800.00","$72,100.00","$38,200.00","$51,800.00","$101,000.00","$146,000.00"
St. Cloud State University,Midwestern,State,"$41,800.00","$71,400.00","$38,700.00","$49,400.00","$101,000.00","$126,000.00"
University of Wisconsin (UW) - Parkside,Midwestern,State,"$40,700.00","$71,400.00","$40,900.00","$53,100.00","$84,900.00","$119,000.00"
University of Akron,Midwestern,State,"$41,100.00","$70,300.00","$40,600.00","$53,300.00","$95,200.00","$127,000.00"
Missouri State University (MSU),Midwestern,State,"$36,100.00","$69,500.00","$33,300.00","$46,900.00","$102,000.00","$134,000.00"
University of Wisconsin (UW) - La Crosse,Midwestern,State,"$42,200.00","$69,300.00","$37,500.00","$47,200.00","$93,100.00","$133,000.00"
University of Wisconsin (UW) - Stout,Midwestern,State,"$43,600.00","$68,300.00","$40,900.00","$50,600.00","$91,600.00","$136,000.00"
University of Missouri - St. Louis (UMSL),Midwestern,State,"$41,400.00","$67,100.00","$36,800.00","$49,600.00","$97,600.00","$144,000.00"
University of Wisconsin (UW) - Oshkosh,Midwestern,State,"$39,300.00","$66,400.00","$37,700.00","$49,700.00","$90,100.00","$138,000.00"
University of Missouri - Kansas City (UMKC),Midwestern,State,"$38,900.00","$65,800.00","$36,300.00","$48,100.00","$95,800.00","$124,000.00"
University of Wisconsin (UW) - Eau Claire,Midwestern,State,"$41,400.00","$64,800.00","$35,000.00","$47,300.00","$93,100.00","$125,000.00"
Ball State University (BSU),Midwestern,State,"$39,100.00","$64,500.00","$35,500.00","$48,200.00","$89,300.00","$128,000.00"
University of Wisconsin (UW) - Stevens Point,Midwestern,State,"$39,800.00","$64,000.00","$38,400.00","$45,100.00","$95,400.00","$128,000.00"
Kent State University,Midwestern,State,"$38,700.00","$62,600.00","$36,100.00","$45,800.00","$87,000.00","$124,000.00"
University of Wisconsin (UW) - Green Bay,Midwestern,State,"$35,800.00","$60,600.00","$35,500.00","$46,800.00","$81,800.00","$102,000.00"
Pittsburg State University,Midwestern,State,"$40,400.00","$58,200.00","$25,600.00","$46,000.00","$84,600.00","$117,000.00"
Georgia Institute of Technology,Southern,Engineering,"$58,300.00","$106,000.00","$67,200.00","$85,200.00","$137,000.00","$183,000.00"
Washington and Lee University,Southern,Liberal Arts,"$53,600.00","$104,000.00",,"$82,800.00","$146,000.00",
Davidson College,Southern,Liberal Arts,"$46,100.00","$104,000.00",,"$70,500.00","$146,000.00",
University of Virginia (UVA),Southern,State,"$52,700.00","$103,000.00","$52,200.00","$71,800.00","$146,000.00","$215,000.00"
Texas A&M University,Southern,State,"$49,700.00","$96,100.00","$51,100.00","$71,300.00","$131,000.00","$171,000.00"
Virginia Polytechnic Institute and State University (Virginia Tech),Southern,Engineering,"$53,500.00","$95,400.00","$50,600.00","$71,400.00","$124,000.00","$163,000.00"
"University of Maryland, College Park",Southern,Party,"$52,000.00","$95,000.00","$50,400.00","$68,300.00","$126,000.00","$166,000.00"
"University of Maryland, College Park",Southern,State,"$52,000.00","$95,000.00","$50,400.00","$68,300.00","$126,000.00","$166,000.00"
University of Richmond,Southern,Liberal Arts,"$48,600.00","$94,600.00","$44,500.00","$59,400.00","$151,000.00","$211,000.00"
University of Texas (UT) - Austin,Southern,Party,"$49,700.00","$93,900.00","$50,100.00","$67,400.00","$129,000.00","$188,000.00"
University of Texas (UT) - Austin,Southern,State,"$49,700.00","$93,900.00","$50,100.00","$67,400.00","$129,000.00","$188,000.00"
University of Florida (UF),Southern,Party,"$47,100.00","$87,900.00","$45,400.00","$62,900.00","$120,000.00","$172,000.00"
University of Florida (UF),Southern,State,"$47,100.00","$87,900.00","$45,400.00","$62,900.00","$120,000.00","$172,000.00"
Louisiana State University (LSU),Southern,Party,"$46,900.00","$87,800.00","$43,700.00","$61,300.00","$120,000.00","$165,000.00"
Louisiana State University (LSU),Southern,State,"$46,900.00","$87,800.00","$43,700.00","$61,300.00","$120,000.00","$165,000.00"
George Mason University,Southern,State,"$47,800.00","$86,900.00","$51,300.00","$67,200.00","$114,000.00","$150,000.00"
Clemson University,Southern,State,"$48,400.00","$86,000.00","$50,500.00","$61,800.00","$111,000.00","$150,000.00"
University of Georgia (UGA),Southern,Party,"$44,100.00","$86,000.00","$43,100.00","$57,800.00","$118,000.00","$164,000.00"
University of Georgia (UGA),Southern,State,"$44,100.00","$86,000.00","$43,100.00","$57,800.00","$118,000.00","$164,000.00"
Auburn University,Southern,State,"$45,400.00","$84,700.00","$45,400.00","$62,700.00","$109,000.00","$145,000.00"
University of Delaware,Southern,State,"$45,900.00","$84,500.00","$44,500.00","$64,000.00","$119,000.00","$165,000.00"
Randolph-Macon College,Southern,Party,"$42,600.00","$83,600.00",,"$54,100.00","$123,000.00",
Randolph-Macon College,Southern,Liberal Arts,"$42,600.00","$83,600.00",,"$54,100.00","$123,000.00",
North Carolina State University (NCSU),Southern,State,"$47,200.00","$83,300.00","$49,200.00","$64,800.00","$112,000.00","$153,000.00"
University of Oklahoma,Southern,State,"$44,700.00","$82,900.00","$41,200.00","$60,300.00","$114,000.00","$167,000.00"
University of Arkansas,Southern,State,"$44,100.00","$82,800.00","$43,200.00","$60,700.00","$113,000.00","$160,000.00"
University of Alabama at Huntsville (UAH),Southern,State,"$43,100.00","$82,700.00","$46,100.00","$67,800.00","$106,000.00","$132,000.00"
University of North Carolina at Chapel Hill (UNCH),Southern,State,"$42,900.00","$81,500.00","$43,400.00","$57,500.00","$117,000.00","$155,000.00"
"University of Alabama, Tuscaloosa",Southern,Party,"$41,300.00","$81,400.00","$40,100.00","$56,500.00","$117,000.00","$161,000.00"
"University of Alabama, Tuscaloosa",Southern,State,"$41,300.00","$81,400.00","$40,100.00","$56,500.00","$117,000.00","$161,000.00"
University of Texas at Arlington (UTA),Southern,State,"$45,400.00","$80,800.00","$46,400.00","$61,200.00","$106,000.00","$138,000.00"
Oklahoma State University,Southern,State,"$42,800.00","$80,700.00","$40,100.00","$56,500.00","$114,000.00","$151,000.00"
Tennessee Technological University,Southern,Engineering,"$46,200.00","$80,000.00","$42,100.00","$62,600.00","$99,500.00","$121,000.00"
University of Houston (UH),Southern,State,"$46,000.00","$79,900.00","$42,000.00","$56,200.00","$106,000.00","$141,000.00"
University of Mississippi,Southern,Party,"$41,400.00","$79,700.00","$40,400.00","$53,500.00","$108,000.00","$186,000.00"
University of Mississippi,Southern,State,"$41,400.00","$79,700.00","$40,400.00","$53,500.00","$108,000.00","$186,000.00"
Lamar University,Southern,State,"$46,500.00","$79,400.00","$38,700.00","$51,600.00","$114,000.00","$158,000.00"
Mississippi State University (MSU),Southern,State,"$44,500.00","$79,300.00","$43,300.00","$58,800.00","$108,000.00","$151,000.00"
University of Kentucky (UK),Southern,State,"$42,800.00","$78,300.00","$43,000.00","$57,300.00","$107,000.00","$149,000.00"
West Virginia University (WVU),Southern,Party,"$43,100.00","$78,100.00","$39,700.00","$55,700.00","$106,000.00","$141,000.00"
West Virginia University (WVU),Southern,State,"$43,100.00","$78,100.00","$39,700.00","$55,700.00","$106,000.00","$141,000.00"
University of Maryland Baltimore County (UMBC),Southern,State,"$47,000.00","$77,800.00","$46,900.00","$59,100.00","$105,000.00","$130,000.00"
University of Louisiana (UL) at Lafayette,Southern,State,"$41,100.00","$76,300.00","$42,000.00","$54,500.00","$107,000.00","$163,000.00"
Florida International University (FIU),Southern,State,"$43,200.00","$75,500.00","$40,500.00","$55,800.00","$98,200.00","$136,000.00"
University of Tennessee,Southern,Party,"$43,800.00","$74,600.00","$41,900.00","$53,200.00","$106,000.00","$153,000.00"
University of Tennessee,Southern,State,"$43,800.00","$74,600.00","$41,900.00","$53,200.00","$106,000.00","$153,000.00"
University of North Carolina at Charlotte (UNCC),Southern,State,"$43,100.00","$74,000.00","$38,200.00","$53,200.00","$99,500.00","$133,000.00"
Georgia State University,Southern,State,"$41,800.00","$74,000.00","$43,000.00","$55,300.00","$99,900.00","$145,000.00"
Florida State University (FSU),Southern,Party,"$42,100.00","$73,000.00","$39,600.00","$52,800.00","$107,000.00","$156,000.00"
Florida State University (FSU),Southern,State,"$42,100.00","$73,000.00","$39,600.00","$52,800.00","$107,000.00","$156,000.00"
University of Texas at El Paso (UTEP),Southern,State,"$43,400.00","$72,100.00","$37,700.00","$50,400.00","$99,500.00","$133,000.00"
University of Central Florida (UCF),Southern,State,"$42,600.00","$71,700.00","$39,500.00","$51,500.00","$98,400.00","$125,000.00"
University of South Carolina,Southern,State,"$40,000.00","$71,700.00","$36,300.00","$49,900.00","$98,400.00","$131,000.00"
Florida Atlantic University (FAU),Southern,State,"$42,600.00","$71,100.00","$40,700.00","$53,000.00","$99,500.00","$137,000.00"
University of South Florida (USF),Southern,State,"$41,100.00","$71,100.00","$39,600.00","$51,500.00","$98,100.00","$131,000.00"
University of Texas at San Antonio (UTSA),Southern,State,"$42,500.00","$70,700.00","$39,100.00","$49,800.00","$92,700.00","$121,000.00"
University of Alabama at Birmingham (UAB),Southern,State,"$39,200.00","$70,100.00","$43,000.00","$53,400.00","$91,400.00","$125,000.00"
University of Memphis (U of M),Southern,State,"$41,400.00","$69,700.00","$36,100.00","$49,100.00","$93,500.00","$127,000.00"
Appalachian State University,Southern,State,"$40,400.00","$69,100.00","$37,200.00","$50,400.00","$90,800.00","$115,000.00"
Virginia Commonwealth University (VCU),Southern,State,"$42,000.00","$68,400.00","$37,400.00","$51,900.00","$100,000.00","$123,000.00"
East Carolina University (ECU),Southern,State,"$40,200.00","$67,500.00","$38,400.00","$52,000.00","$98,700.00","$151,000.00"
