School Name,Region,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
California Institute of Technology (CIT),California,Engineering,75500.0,123000.0,62650.0,104000.0,161000.0,175571.42857142858
Harvey Mudd College,California,Engineering,71800.0,122000.0,62650.0,96000.0,180000.0,175571.42857142858
"University of California, Berkeley",California,State,59900.0,112000.0,59500.0,81000.0,149000.0,201000.0
Occidental College,California,Liberal Arts,51900.0,105000.0,,54800.0,157000.0,
Cal Poly San Luis Obispo,California,State,57200.0,101000.0,55000.0,74700.0,133000.0,178000.0
University of California at Los Angeles (UCLA),California,State,52600.0,101000.0,51300.0,72500.0,139000.0,193000.0
"University of California, San Diego (UCSD)",California,State,51100.0,101000.0,51700.0,75400.0,131000.0,177000.0
Pomona College,California,Liberal Arts,48600.0,101000.0,,63300.0,161000.0,
"University of California, Davis",California,State,52300.0,99600.0,52000.0,71600.0,135000.0,202000.0
"University of California, Irvine (UCI)",California,State,48300.0,96700.0,47800.0,66000.0,123000.0,172000.0
San Jose State University (SJSU),California,State,53500.0,95600.0,50700.0,70500.0,122000.0,156000.0
"University of California, Santa Barbara (UCSB)",California,Party,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0
"University of California, Santa Barbara (UCSB)",California,State,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0
"California State University (CSU), Chico",California,State,47400.0,88100.0,46800.0,62800.0,122000.0,154000.0
"California State University, Fullerton (CSUF)",California,State,45700.0,87000.0,45400.0,62500.0,119000.0,158000.0
San Francisco State University (SFSU),California,State,47300.0,86400.0,45100.0,62700.0,114000.0,150000.0
San Diego State University (SDSU),California,State,46200.0,85200.0,45500.0,61800.0,116000.0,158000.0
"California State University, Long Beach (CSULB)",California,State,45100.0,84700.0,47400.0,62500.0,113000.0,154000.0
"California State University, East Bay (CSUEB)",California,State,49200.0,84300.0,46000.0,62400.0,115000.0,155000.0
"University of California, Santa Cruz (UCSC)",California,State,44700.0,84100.0,46100.0,62000.0,121000.0,165000.0
"California State University, Sacramento (CSUS)",California,State,47800.0,82400.0,42900.0,59600.0,111000.0,154000.0
"University of California, Riverside (UCR)",California,State,46800.0,81300.0,37200.0,59900.0,109000.0,134000.0
"California State University, Northridge (CSUN)",California,State,45500.0,80400.0,44500.0,57800.0,108000.0,153000.0
"California State University, Dominguez Hills (CSUDH)",California,State,42700.0,72100.0,30800.0,47000.0,92200.0,132000.0
Humboldt State University,California,State,42600.0,71300.0,36000.0,56300.0,94400.0,117000.0
Thomas Aquinas College,California,Liberal Arts,41500.0,67500.0,,44600.0,93100.0,
Colorado School of Mines,Western,Engineering,58100.0,106000.0,62200.0,87900.0,142000.0,201000.0
University of Colorado - Boulder (UCB),Western,State,47100.0,97600.0,51600.0,69000.0,128000.0,187000.0
New Mexico Institute of Mining and Technology (New Mexico Tech),Western,Engineering,51000.0,93400.0,62650.0,67400.0,123000.0,175571.42857142858
University of Arizona,Western,State,47500.0,86100.0,44800.0,61700.0,117000.0,160000.0
University of Washington (UW),Western,State,48800.0,85300.0,47000.0,59800.0,115000.0,149000.0
Washington State University (WSU),Western,State,45300.0,84700.0,43600.0,59000.0,113000.0,162000.0
University of Colorado - Denver,Western,State,46100.0,84400.0,46400.0,58600.0,105000.0,144000.0
Arizona State University (ASU),Western,Party,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0
Arizona State University (ASU),Western,State,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0
Oregon State University (OSU),Western,State,45100.0,83300.0,46900.0,64000.0,113000.0,146000.0
University of Utah,Western,State,45400.0,83200.0,43000.0,58400.0,116000.0,148000.0
"University of Nevada, Reno (UNR)",Western,State,46500.0,82900.0,41900.0,54600.0,113000.0,143000.0
University of Idaho,Western,State,44900.0,82000.0,43000.0,56700.0,104000.0,142000.0
University of New Mexico (UNM),Western,State,41600.0,81600.0,41800.0,59100.0,105000.0,141000.0
University of Puget Sound,Western,Liberal Arts,46600.0,81500.0,48900.0,60100.0,104000.0,137000.0
Colorado College (CC),Western,Liberal Arts,38500.0,81400.0,,43000.0,148000.0,
Reed College,Western,Liberal Arts,40500.0,81100.0,,67400.0,101000.0,
Whitman College,Western,Liberal Arts,43500.0,80100.0,,64800.0,111000.0,
New Mexico State University,Western,State,44300.0,79500.0,37400.0,53800.0,102000.0,131000.0
Colorado State University (CSU),Western,State,44800.0,79000.0,43800.0,57100.0,112000.0,150000.0
University of Wyoming (UW),Western,State,44500.0,78700.0,41500.0,54000.0,105000.0,145000.0
Utah State University,Western,State,43800.0,78700.0,41600.0,55400.0,101000.0,132000.0
University of Oregon,Western,State,42200.0,78400.0,38100.0,56200.0,117000.0,186000.0
Montana State University - Bozeman,Western,State,46600.0,77500.0,40200.0,58100.0,111000.0,151000.0
